"id","question","answer","category","source","created_at"
1,전기차 충전기 연결 후 고전압(고전압) 배터리가 충전 안되면 어떻게 해야 하나요?,"차량의 충전 관리 설정을 확인하십시오. (예 : 예약 충전이 설정되어 있는 경우 완속 충전기 및 휴대용 충전기를 연결해도 즉시 충전이 되지 않습니다.) 또한 완속 충전기, 휴대용 충전기, 급속 충전기의 작동 상태를 확인하십시오. 충전이 안 되어 계기판에 충전 관련 경고문이 표시되면, 해당 경고문 설명 내용을 확인하십시오. 정상으로 작동하는 다른 충전기를 연결했을 때도 충전이 되지 않으면 가까운 직영 서비스센터나 서비스 협력사에서 점검을 받으십시오.",Kia EV Guide,기아,"2026-02-24 06:44:29"
2,친환경 전기차 충전카드는 어떻게 발급받나요?,"환경부 전기차 충전소 홈페이지를 통해 회원가입 및 회원카드 신청이 가능하며, 카드 수령 후 사용 등록 시 공용 충전기 이용이 가능합니다. 또한 기아 충전 파트너사(한국전기차 충전 서비스, 에스트래픽) 홈페이지를 통한 멤버십 카드 발급도 가능합니다.",Kia EV Guide,기아,"2026-02-24 06:44:29"
3,전기차의 고전압 배터리는 화재 및 폭발에 안전한가요?,"전기차 배터리팩은 차량 협조제어(Fail-Safe), 능동 보호(BMS 제어), 수동 보호(퓨즈 적용), 배터리 셀 강건설계(세라믹 코팅 분리막 등)로 구성된 4단계 안전장치를 통해 관리됩니다. 충돌, 수밀, 침수, 연소 시험 등 엄격한 안전성 검증을 거쳐 설계되었습니다.",Kia EV Guide,기아,"2026-02-24 06:44:29"
4,전기차에서 발생하는 전자파가 인체에 유해하지 않나요?,"전기차에서 발생하는 전자파는 국제기구(ICNIRP) 권고치 대비 매우 낮은 수준으로 평가되었으며, 최근 조사된 전자담배의 전자파 수준(1~3μT)과 유사한 경미한 수준입니다. 정차, 주행, 충전 등 모든 상황에서 인체에 유해하지 않은 것으로 확인되었습니다.",Kia EV Guide,기아,"2026-02-24 06:44:29"
5,EV6의 충전 도어 안에 번개 모양의 버튼은 무슨 기능인가요?,"EV6 충전 도어 내 번개 모양 버튼은 '즉시 충전 버튼'입니다. 예약 충전이 설정된 상태에서 이를 해지하고 즉시 충전을 원할 경우, 해당 버튼을 2초 이상 누르면 예약 충전이 자동으로 해지되며 즉시 충전으로 전환됩니다.",Kia EV Guide,기아,"2026-02-24 06:44:29"
6,전기차 회생제동(패들 쉬프트) 사용방법은 어떻게 되나요?,"감속 및 제동 시 에너지를 전기로 변환해 배터리를 충전하는 기능입니다. 좌측 패들 쉬프트를 당기면 회생제동 단계가 높아져 감속도가 커지고, 우측을 당기면 단계가 낮아져 감속도가 줄어듭니다. 좌측을 0.5초 이상 당기고 있으면 회생제동량이 최대로 증가하며 차량 정차도 가능합니다.",Kia EV Guide,기아,"2026-02-24 06:44:29"
7,[민간보조사업] 수소충전소 민간보조 사업 지원기준 및 절차는?,"• 한국자동차환경협회 업무대행업무로 자세한 사항 아래 참조(연료구입비 지원사업 포함)
- (관련사이트) 한국자동차환경협회(https://www.aea.or.kr/biz/hcInfra.do)
- (참고자료) 2023년 수소차 보급 및 충전소 설치사업 보조금 업무처리지침(환경부)
- (기타문의) 070-4027-0584",민간보조사업,무공해차 통합누리집,"2026-02-24 06:44:29"
8,[주요설비] 수소충전소 주요설비 구성은?,"1. (수소공급) 튜브트레일러, 수소배관, 자체생산시설 등을 통해 수소 공급
2. (수소압축) 압축기: 저장설비의 수소를 고압으로 승압하여 저장용기에 저장(→ 1,000bar)
3. (수소저장) 저장용기: 압축설비에서 고압으로 전환된 수소를 저장(저압, 중압, 고압용기로 구성)
4. (냉각) 냉각기(칠러): 수소 온도 상승에 따른 수소차의 저장탱크 보호를 위해 수소온도를 -40°c까지 하강(압축과 충전시 온도 상승 제어)
5. (충전) 디스펜서: 수소를 수소차량에 충전하는 기기",주요설비,무공해차 통합누리집,"2026-02-24 06:44:29"
9,[관계정부부처] 수소충전 구축에 따른 정부기관 역할 분담은?,"• 환경부는 수소충전소 보급 총괄기관이며, 수소 생산·유통과 관련하여 산자부, 국토부 등과 협업하고 있음
- (환경부) 수소충전소 구축 총괄, 수소충전소 배치계획 수립, 수소충전소 운영비 지원, 수소충전소 인허가 특례 도입 등
- (산자부) 수소 생산·유통 총괄, 수소충전소 부품 국산화(R&D), 수소연료 생산시설 구축, 수소충전소 안전관리(한국가스안전공사) 등
- (국토부) 고속도로(한국도로공사) 및 교통물류거점(화물차休) 수소충전소 구축",관계정부부처,무공해차 통합누리집,"2026-02-24 06:44:29"
10,[허가] 수소충전소 구축시 인허가 의제란?,"• ""대기환경보전법"" 개정('21년 4월)으로 환경부장관이 설치계획을 승인할 경우 해당 인허가 등을 받은 것으로 간주하는 의제(한시적 시행)
* (관련법) 대기환경보전법 제58조의11(수소연료공급시설 설치계획의 승인)
• 지역별 인허가 의제 처리 담당기관 현황:
- 수도권대기환경청: 서울특별시, 인천광역시 및 경기도(수원시 등 일부)
- 한강유역환경청: 경기도(나머지 지역)
- 낙동강유역환경청: 부산, 울산, 경남(일부 제외)
- 금강유역환경청: 대전, 세종, 충북(일부 제외)
- 영산강유역환경청: 광주, 전남, 경남(일부), 제주
- 원주지방환경청: 강원, 충북(일부)
- 대구환경청: 대구, 경북
- 전북지방환경청: 전북",허가,무공해차 통합누리집,"2026-02-24 06:44:29"
